From	Entry	Entry Name	Protein names	Gene Names	Organism
"P34896	Serine hydroxymethyltransferase, cytosolic"	P34896	GLYC_HUMAN	Serine hydroxymethyltransferase, cytosolic (SHMT) (cSHMT) (hcSHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (L-allo-threonine/L-threonine aldolase SHMT1) (Serine methylase)	SHMT1	Homo sapiens (Human)
"Q5T123	SH3 domain-binding glutamic acid-rich-like protein 3"	Q5T123	Q5T123_HUMAN	SH3 domain-binding glutamic acid-rich-like protein 3	SH3BGRL3	Homo sapiens (Human)
"Q15393	Splicing factor 3B subunit 3"	Q15393	SF3B3_HUMAN	Splicing factor 3B subunit 3 (Pre-mRNA-splicing factor SF3b 130 kDa subunit (SF3b130)) (STAF130) (Spliceosome-associated protein 130 (SAP 130))	SF3B3 KIAA0017 SAP130	Homo sapiens (Human)
"Q9H7N4	Splicing factor, arginine/serine-rich 19"	Q9H7N4	SFR19_HUMAN	Splicing factor, arginine/serine-rich 19 (SR-related C-terminal domain-associated factor 1 (SR-related and CTD-associated factor 1)) (SR-related-CTD-associated factor (SCAF)) (Serine arginine-rich pre-mRNA splicing factor SR-A1 (SR-A1))	SCAF1 SFRS19 SRA1	Homo sapiens (Human)
"A6NHR9	Structural maintenance of chromosomes flexible hinge domain-containing protein 1"	A6NHR9	SMHD1_HUMAN	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)	SMCHD1 KIAA0650	Homo sapiens (Human)
"Q9UBE0	SUMO-activating enzyme subunit 1"	Q9UBE0	SAE1_HUMAN	SUMO-activating enzyme subunit 1 (Ubiquitin-like 1-activating enzyme E1A)	SAE1 AOS1 SUA1 UBLE1A	Homo sapiens (Human)
"O15056	Synaptojanin-2"	O15056	SYNJ2_HUMAN	Polyphosphatidylinositol phosphatase SYNJ2 (Synaptojanin-2)	SYNJ2 KIAA0348	Homo sapiens (Human)
"Q9Y490	Talin-1"	Q9Y490	TLN1_HUMAN	Talin-1	TLN1 KIAA1027 TLN	Homo sapiens (Human)
"O60343	TBC1 domain family member 4"	O60343	TBCD4_HUMAN	TBC1 domain family member 4 (Akt substrate of 160 kDa (AS160))	TBC1D4 AS160 KIAA0603	Homo sapiens (Human)
"P63313	Thymosin beta-10"	P63313	TYB10_HUMAN	Thymosin beta-10	TMSB10 PTMB10 THYB10	Homo sapiens (Human)
"P29401	Transketolase"	P29401	TKT_HUMAN	Transketolase (TK) (EC 2.2.1.1)	TKT	Homo sapiens (Human)
"Q9BRR3	Transmembrane protein 246"	Q9BRR3	PGAP4_HUMAN	GPI-N-acetylgalactosamine transferase PGAP4 (GPI-GalNAc transferase PGAP4) (EC 2.4.1.-) (Post-GPI attachment to proteins GalNAc transferase 4) (Post-GPI attachment to proteins factor 4) (Transmembrane protein 246)	PGAP4 C9orf125 TMEM246	Homo sapiens (Human)
"P53007	Tricarboxylate transport protein, mitochondrial"	P53007	TXTP_HUMAN	Tricarboxylate transport protein, mitochondrial (Citrate transport protein (CTP)) (Mitochondrial citrate carrier (CIC)) (Solute carrier family 25 member 1) (Tricarboxylate carrier protein)	SLC25A1 SLC20A3	Homo sapiens (Human)
"U3KQK2	Tropomyosin beta chain (Fragment)"	U3KQK2	U3KQK2_HUMAN	Tropomyosin 2	TPM2	Homo sapiens (Human)
"Q13885	Tubulin beta-2A chain"	Q13885	TBB2A_HUMAN	Tubulin beta-2A chain (Tubulin beta class IIa)	TUBB2A TUBB2	Homo sapiens (Human)
"Q9BVA1	Tubulin beta-2B chain"	Q9BVA1	TBB2B_HUMAN	Tubulin beta-2B chain	TUBB2B	Homo sapiens (Human)
"Q13509	Tubulin beta-3 chain"	Q13509	TBB3_HUMAN	Tubulin beta-3 chain (Tubulin beta-4 chain) (Tubulin beta-III)	TUBB3 TUBB4	Homo sapiens (Human)
"P04350	Tubulin beta-4A chain"	P04350	TBB4A_HUMAN	Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain)	TUBB4A TUBB4 TUBB5	Homo sapiens (Human)
"P68371	Tubulin beta-4B chain"	P68371	TBB4B_HUMAN	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	TUBB4B TUBB2C	Homo sapiens (Human)
"Q16222	UDP-N-acetylhexosamine pyrophosphorylase"	Q16222	UAP1_HUMAN	UDP-N-acetylhexosamine pyrophosphorylase (Antigen X (AGX)) (Protein-pyrophosphorylation enzyme (EC 2.7.4.-)) (Sperm-associated antigen 2) (UDP-N-acetylgalactosamine pyrophosphorylase (EC 2.7.7.83)) (UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23))	UAP1 SPAG2	Homo sapiens (Human)
"Q92614	Unconventional myosin-XVIIIa"	Q92614	MY18A_HUMAN	Unconventional myosin-XVIIIa (Molecule associated with JAK3 N-terminus (MAJN)) (Myosin containing a PDZ domain) (Surfactant protein receptor SP-R210 (SP-R210))	MYO18A CD245 KIAA0216 MYSPDZ TIAF1	Homo sapiens (Human)
"Q13488	V-type proton ATPase 116 kDa subunit a isoform 3"	Q13488	VPP3_HUMAN	V-type proton ATPase 116 kDa subunit a 3 (V-ATPase 116 kDa subunit a 3) (Osteoclastic proton pump 116 kDa subunit (OC-116 kDa) (OC116)) (T-cell immune regulator 1) (T-cell immune response cDNA7 protein (TIRC7)) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 3)	TCIRG1 ATP6N1C ATP6V0A3	Homo sapiens (Human)
