From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"NB5R3_HUMAN	NADH-cytochrome b5 reductase 3"	P00387	NB5R3_HUMAN	NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1)	CYB5R3 DIA1	Homo sapiens (Human)	auto	
"NUCL_HUMAN	Nucleolin"	P19338	NUCL_HUMAN	Nucleolin (Protein C23)	NCL	Homo sapiens (Human)	auto	
"PPIB_HUMAN	Peptidyl-prolyl cis-trans isomerase B"	P23284	PPIB_HUMAN	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin (SCYLP))	PPIB CYPB	Homo sapiens (Human)	auto	
"P4HA1_HUMAN	Prolyl 4-hydroxylase subunit alpha-1"	P13674	P4HA1_HUMAN	Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1)	P4HA1 P4HA	Homo sapiens (Human)	auto	
"S10AB_HUMAN	Protein S100-A11"	P31949	S10AB_HUMAN	Protein S100-A11 (Calgizzarin) (Metastatic lymph node gene 70 protein (MLN 70)) (Protein S100-C) (S100 calcium-binding protein A11)	S100A11 MLN70 S100C	Homo sapiens (Human)	auto	
"S10A6_HUMAN	Protein S100-A6"	P06703	S10A6_HUMAN	Protein S100-A6 (Calcyclin) (Growth factor-inducible protein 2A9) (MLN 4) (Prolactin receptor-associated protein (PRA)) (S100 calcium-binding protein A6)	S100A6 CACY	Homo sapiens (Human)	auto	
"RCN1_HUMAN	Reticulocalbin-1"	Q15293	RCN1_HUMAN	Reticulocalbin-1	RCN1 RCN	Homo sapiens (Human)	auto	
"SH3L3_HUMAN	SH3 domain-binding glutamic acid-rich-like protein 3"	Q9H299	SH3L3_HUMAN	SH3 domain-binding glutamic acid-rich-like protein 3 (SH3 domain-binding protein 1 (SH3BP-1)) (TNF inhibitory protein B1 (TIP-B1))	SH3BGRL3	Homo sapiens (Human)	auto	
"STIP1_HUMAN	Stress-induced-phosphoprotein 1"	P31948	STIP1_HUMAN	Stress-induced-phosphoprotein 1 (STI1) (Hsc70/Hsp90-organizing protein (Hop)) (Renal carcinoma antigen NY-REN-11) (Transformation-sensitive protein IEF SSP 3521)	STIP1	Homo sapiens (Human)	auto	
"TLN1_HUMAN	Talin-1"	Q9Y490	TLN1_HUMAN	Talin-1	TLN1 KIAA1027 TLN	Homo sapiens (Human)	auto	
"TAGL_HUMAN	Transgelin"	Q01995	TAGL_HUMAN	Transgelin (22 kDa actin-binding protein) (Protein WS3-10) (Smooth muscle protein 22-alpha (SM22-alpha))	TAGLN SM22 WS3-10	Homo sapiens (Human)	auto	
"TMEDA_HUMAN	Transmembrane emp24 domain-containing protein 10"	P49755	TMEDA_HUMAN	Transmembrane emp24 domain-containing protein 10 (Protein TMED10) (21 kDa transmembrane-trafficking protein) (S31I125) (S31III125) (Tmp-21-I) (Transmembrane protein Tmp21) (p23) (p24 family protein delta-1 (p24delta1)) (p24delta)	TMED10 TMP21	Homo sapiens (Human)	auto	
